timestamp,call_sid,speaker,message_type,content,audio_files_used,response_time_ms
2025-07-29T08:15:39.221724,CA165e5367fadbeb405758a9a0fb861fd9,Nisha,audio,<audio: intro_klariqo1.1.mp3>,intro_klariqo1.1.mp3,
2025-07-29T08:16:01.602256,CA165e5367fadbeb405758a9a0fb861fd9,Principal,transcript,"अच्छा जी, बताइए.",,
2025-07-29T08:16:02.690710,CA165e5367fadbeb405758a9a0fb861fd9,Nisha,audio,<audio: intro_klariqo1.1.mp3>,intro_klariqo1.1.mp3,
2025-07-29T08:16:24.835598,CA165e5367fadbeb405758a9a0fb861fd9,Principal,transcript,"ठीक है, जी बताइए और",,
2025-07-29T08:16:25.755095,CA165e5367fadbeb405758a9a0fb861fd9,Nisha,audio,<audio: klariqo_provides_voice_agent1.mp3 + voice_agents_trained_details.mp3>,"klariqo_provides_voice_agent1.mp3, voice_agents_trained_details.mp3",
2025-07-29T08:16:46.909219,CA165e5367fadbeb405758a9a0fb861fd9,Principal,transcript,ठीक है.,,
2025-07-29T08:16:47.855687,CA165e5367fadbeb405758a9a0fb861fd9,Nisha,audio,<audio: basically_agent_answers_parents.mp3 + agent_guides_onboarding_process.mp3>,"basically_agent_answers_parents.mp3, agent_guides_onboarding_process.mp3",
2025-07-29T08:17:14.162935,CA165e5367fadbeb405758a9a0fb861fd9,Principal,transcript,अच्छा ठीक है तो इसका cost क्या रहेगा?,,
2025-07-29T08:17:14.866511,CA165e5367fadbeb405758a9a0fb861fd9,Nisha,audio,<audio: klariqo_pricing1.1.mp3>,klariqo_pricing1.1.mp3,
2025-07-29T08:17:45.968620,CA165e5367fadbeb405758a9a0fb861fd9,Principal,transcript,जी यह बताइए 3000 minutes का क्या logic है?,,
2025-07-29T08:17:47.142108,CA165e5367fadbeb405758a9a0fb861fd9,Nisha,audio,<audio: klariqo_pricing1.1.mp3 + 3000_mins_breakdown1.1.mp3>,"klariqo_pricing1.1.mp3, 3000_mins_breakdown1.1.mp3",
2025-07-29T08:18:50.136009,CA165e5367fadbeb405758a9a0fb861fd9,Principal,transcript,"हां जी, 25 work days होते हैं.",,
2025-07-29T08:18:52.061502,CA165e5367fadbeb405758a9a0fb861fd9,Nisha,audio,<audio: 40_calls_everymonth1.1.mp3 + 3000_mins_breakdown1.1.mp3>,"40_calls_everymonth1.1.mp3, 3000_mins_breakdown1.1.mp3",
2025-07-29T08:19:41.490560,CA165e5367fadbeb405758a9a0fb861fd9,Principal,transcript,"ठीक है, तो इसमें मेरा कितना काम रहेगा मतलब मुझे कितना technical setup",,
2025-07-29T08:19:42.398012,CA165e5367fadbeb405758a9a0fb861fd9,Nisha,audio,<audio: klariqo_low_maintan_start.mp3 + agents_call_recording.mp3>,"klariqo_low_maintan_start.mp3, agents_call_recording.mp3",
2025-07-29T08:20:49.740465,CA165e5367fadbeb405758a9a0fb861fd9,Principal,transcript,कैसे काम करता है यह basically?,,
2025-07-29T08:20:50.714005,CA165e5367fadbeb405758a9a0fb861fd9,Nisha,audio,<audio: basically_agent_answers_parents.mp3 + voice_agents_trained_details.mp3>,"basically_agent_answers_parents.mp3, voice_agents_trained_details.mp3",
2025-07-29T08:21:18.286774,CA165e5367fadbeb405758a9a0fb861fd9,Principal,transcript,नहीं नहीं तो मैं यह technically पुछ रहा हूं कि behind the scenes,,
2025-07-29T08:21:19.221775,CA165e5367fadbeb405758a9a0fb861fd9,Nisha,audio,<audio: klariqo_low_maintan_start.mp3 + agents_call_recording.mp3 + agents_wrong_answer_first_solution1.1.mp3>,"klariqo_low_maintan_start.mp3, agents_call_recording.mp3, agents_wrong_answer_first_solution1.1.mp3",
2025-07-29T08:22:13.020731,CA4088c80b193e53cdfca957296993529a,Nisha,audio,<audio: intro_klariqo1.1.mp3>,intro_klariqo1.1.mp3,
2025-07-29T08:22:35.553410,CA4088c80b193e53cdfca957296993529a,Principal,transcript,"अच्छा जी, interesting जी बताइए.",,
2025-07-29T08:22:36.670056,CA4088c80b193e53cdfca957296993529a,Nisha,audio,<audio: klariqo_provides_voice_agent1.mp3 + voice_agents_trained_details.mp3>,"klariqo_provides_voice_agent1.mp3, voice_agents_trained_details.mp3",
2025-07-29T08:22:58.100337,CA4088c80b193e53cdfca957296993529a,Principal,transcript,अच्छा ठीक है फिर.,,
2025-07-29T08:22:59.008050,CA4088c80b193e53cdfca957296993529a,Nisha,audio,<audio: basically_agent_answers_parents.mp3 + agent_guides_onboarding_process.mp3>,"basically_agent_answers_parents.mp3, agent_guides_onboarding_process.mp3",
2025-07-29T08:23:27.466432,CA4088c80b193e53cdfca957296993529a,Principal,transcript,अच्छा तो यह मतलब क्या guarantee रहता है कि agent कभी गलत answer नहीं देगा इसमें?,,
2025-07-29T08:23:28.456106,CA4088c80b193e53cdfca957296993529a,Nisha,audio,<audio: agents_wrong_answer_first_solution1.1.mp3 + agents_wrong_answer_second_solution.mp3>,"agents_wrong_answer_first_solution1.1.mp3, agents_wrong_answer_second_solution.mp3",
2025-07-29T08:24:30.160656,CA4088c80b193e53cdfca957296993529a,Principal,transcript,अच्छा तो मेरे पास तो receptionist हैं पहले से जो यह चीज़ करते हैं,,
2025-07-29T08:24:31.456680,CA4088c80b193e53cdfca957296993529a,Nisha,audio,<audio: klariqo_agents_sound_so_realistic.mp3 + agents_need_no_breaks.mp3>,"klariqo_agents_sound_so_realistic.mp3, agents_need_no_breaks.mp3",
2025-07-29T08:24:52.676381,CA4088c80b193e53cdfca957296993529a,Principal,transcript,तो यह मतलब AI agent का क्या benefit है?,,
2025-07-29T08:24:53.579671,CA4088c80b193e53cdfca957296993529a,Nisha,audio,<audio: klariqo_agents_sound_so_realistic.mp3 + agents_need_no_breaks.mp3>,"klariqo_agents_sound_so_realistic.mp3, agents_need_no_breaks.mp3",
2025-07-29T08:25:19.423488,CA4088c80b193e53cdfca957296993529a,Principal,transcript,अच्छा ठीक है तो इसका pricing क्या रहेगा?,,
2025-07-29T08:25:19.986429,CA4088c80b193e53cdfca957296993529a,Nisha,audio,<audio: klariqo_pricing1.1.mp3>,klariqo_pricing1.1.mp3,
